#,"Anchor Text","Referring Domains Total","Referring Domains with Anchor (Percent %)","Referring Domains Dofollow (desc)","Referring Domains Dofollow with Anchor (Percent %)","Referring Pages Count","Referring Pages with Anchor (Percent %)","First Seen","Last Check"
322,"рабодзей ольга павловна",1,0.27,1,0.41,2,0.01,"2016-04-26 13:15:03","2019-12-11 22:51:11"
323,радиесс,1,0.27,1,0.41,1,0.01,"2019-07-12 02:58:45","2019-07-12 02:58:45"
324,"редукционная маммопластика",1,0.27,1,0.41,1,0.01,"2019-02-01 18:35:15","2019-02-01 18:35:15"
325,"результат эстетической коррекции губ",1,0.27,1,0.41,2,0.01,"2017-04-07 16:49:47","2019-04-29 02:03:10"
326,результаты,1,0.27,1,0.41,2,0.01,"2018-10-22 03:17:25","2020-05-31 05:54:29"
327,"ринопластика носа",1,0.27,1,0.41,1,0.01,"2020-04-14 18:57:42","2020-04-14 18:57:42"
328,"ринопластика носа цены",1,0.27,1,0.41,1,0.01,"2020-06-15 11:52:43","2020-06-15 11:52:43"
329,"ринопластика фото",1,0.27,1,0.41,1,0.01,"2013-08-14 19:33:33","2013-08-14 19:33:33"
330,"рубцы постакне лечение",1,0.27,1,0.41,1,0.01,"2019-10-06 19:09:20","2019-10-06 19:09:20"
331,"с фотографиями результатов «до и после»",1,0.27,1,0.41,2,0.01,"2017-05-17 17:03:22","2020-06-03 08:35:42"
332,сайте,1,0.27,1,0.41,1,0.01,"2020-05-17 12:25:39","2020-05-17 12:25:39"
333,"самая точная в мире система компьютерного моделирования груди 3d form",1,0.27,1,0.41,1,0.01,"2017-04-08 12:35:05","2017-04-08 12:35:05"
334,"сделать лазерную эпиляцию в мск",1,0.27,1,0.41,1,0.01,"2019-07-04 02:05:34","2019-07-04 02:05:34"
335,"см. фото результатов",1,0.27,1,0.41,2,0.01,"2019-02-21 11:08:31","2020-06-07 14:31:34"
336,"ссылка на страницу",1,0.27,1,0.41,4,0.02,"2020-05-10 09:19:12","2020-06-12 19:39:22"
337,"стоимость прилиджи 20 иваново",1,0.27,1,0.41,1,0.01,"2016-11-13 08:31:21","2016-11-13 08:31:21"
338,"тагир ришатович",1,0.27,1,0.41,5,0.03,"2016-04-28 02:34:39","2020-03-26 21:08:50"
339,"только липосакция",1,0.27,1,0.41,1,0.01,"2017-03-17 21:29:22","2017-03-17 21:29:22"
340,"у нас на doctorplastic.ru",1,0.27,1,0.41,1,0.01,"2020-06-09 12:21:40","2020-06-09 12:21:40"
341,"увеличение груди в москве",1,0.27,1,0.41,1,0.01,"2018-04-01 05:00:42","2018-04-01 05:00:42"
342,"увеличение груди стоимость",1,0.27,1,0.41,2,0.01,"2020-06-06 10:02:48","2020-06-06 11:17:25"
343,"увеличение груди, отзывы",1,0.27,1,0.41,1,0.01,"2017-10-15 18:27:34","2017-10-15 18:27:34"
