#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
48,4,70,12,2,https://techart.ru/portfolio/medicine/,"Маркетинговая группа «Текарт» | Медицинские услуги и оборудование",179,240,http://sm-plastica.ru/,,"СМ-Клиника | текстовое наполнение сайта направления пластической хирургии многопрофильной клиники",,Dofollow,,"2017-10-21 11:43:47","2020-06-10 12:25:59",,ru,0,1,,42
49,25,57,11,0,https://www.apoi.ru/novosti/moskva/zdorove-i-medicina?page=4,"Новости компаний: Москва, zdorove-i-medicina",89,7,http://sm-plastica.ru/upload/medialibrary/872/8720a878892abae828e149fa33fe640f.jpg,,,,"Dofollow, Image",,"2020-02-29 10:15:35","2020-04-17 15:27:39",,ru,0,0,,3
50,6,62,11,0,https://eva.ru/forum/mobile/topic/3376576.htm,"▲ Блефаропластика. Общий",63,7,http://sm-plastica.ru/services/plastika-vek-blefaroplastika/nizhnyaya-transkonyuktivalnaya-blefaroplastika.,"А я делала трасконъюктивную блефаровластику нижних век у Борисенко",http://sm-plastica.ru/services/plastika-vek-blefaroplastika/nizhnyaya-transkonyuktivalnaya-blefaroplastika.,"Очень довольная результатом. Прошло тоже все хорошо, без осложнений.",Nofollow,,"2017-08-09 06:47:17","2020-05-07 20:50:40",,ru,0,0,,5
51,1,73,11,0,https://medportal.ru/redirect?url=/clinics/guide/1083/,,0,1,http://sm-plastica.ru/,,,,"Dofollow, Redirect",,"2018-10-03 13:16:22","2019-04-21 10:58:43",,,0,0,,1
52,240,2,11,2,http://www.preventivnaya-medicina.ru/,"Центр превентивной медицины «СМ-Клиника»",13,19,https://sm-plastica.ru/,,"Пластическая хирургия",,Dofollow,,"2019-10-24 07:12:20","2020-05-19 03:08:09",,,24,4,,14
53,2,51,11,1,http://saita.flybb.ru/topic2.html,"создание сайта • Просмотр темы - Список лучших движков для сайта: 4 фаворита Сейчас мы рассм",21,360,http://blefaroweek.sm-plastica.ru/bitrix/rk.php?goto=http://miheeff.site,"2 2 реклама","создание хороших сайтов","раскрутка сайта бесплатно ReadyScript",Dofollow,,"2017-06-12 18:45:30","2020-05-11 01:17:13",,ru,0,0,,330
54,2,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/,,"Акрум Любовь Николаевна пластический хирург (м.Войковская)",,"Dofollow, Image",,"2020-04-11 18:15:29","2020-06-07 01:41:26",,ru,0,5,,16
55,2,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/nozhin-sergey-yurevich/,,"Ножин Сергей Юрьевич пластический хирург высшей категории",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
56,2,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/strazhnikov-ruslan-andreevich/,,"Стражников Руслан Андреевич пластический хирург высшей категории",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
57,1,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/khristenko-anna-ivanovna/,,"Христенко Анна Ивановна пластический хирург, к.м.н (м.ВДНХ)",,"Dofollow, Image",,"2019-12-06 21:33:43","2020-06-07 01:41:26",,ru,0,5,,16
58,1,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/li-aleksandr-gennadevich/,,"Ли Александр Геннадьевич пластический хирург, к.м.н (м.Войковская / м.Текстильщики)",,"Dofollow, Image",,"2019-12-06 21:33:43","2020-06-07 01:41:26",,ru,0,5,,16
59,1,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/malyaev-aleksey-aleksandrovich/,,"Маляев Алексей Александрович пластический хирург (м.Войковская)",,"Dofollow, Image",,"2019-12-06 21:33:43","2020-06-07 01:41:26",,ru,0,5,,16
60,1,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/pakhilin-dmitriy-viktorovich/,,"Пахилин Дмитрий Викторович пластический хирург (м.Войковская / м.Новые Черемушки)",,"Dofollow, Image",,"2019-12-06 21:33:43","2020-06-07 01:41:26",,ru,0,5,,16
61,1,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/shchepelin-mikhail-andreevich/,,"Щепелин Михаил Андреевич пластический хирург, к.м.н (м.Войковская / м.ВДНХ)",,"Dofollow, Image",,"2019-12-06 21:33:43","2020-06-07 01:41:26",,ru,0,5,,16
62,1,56,10,2,https://www.smclinic.ru/actions/idealnaya-figura/,"Акция «Недели идеальной фигуры»",95,50,https://www.sm-plastica.ru/experts/sizov-sergey-vladimirovich/,,"Сизов Сергей Владимирович пластический хирург (м.Войковская)",,"Dofollow, Image",,"2019-12-06 21:33:43","2020-06-07 01:41:26",,ru,0,5,,16
63,1,56,10,1,https://www.smclinic.ru/professional-services/centr-korrekcii-figuri/,"Центр коррекции фигуры «СМ-Клиника»",98,35,https://www.sm-plastica.ru/experts/khristenko-anna-ivanovna/,,"Христенко Анна Ивановна пластический хирург, к.м.н",,"Dofollow, Image",,"2020-02-06 22:58:01","2020-06-11 12:44:48",,ru,0.08,4,,15
